,run_id,runner_id,game_id,category_id,level_id,run_time,timestamp,system_id,url,run_views
14129,znkjw63z,zx7y7kqx,o1y9wo6q,n2y55mko,,1416.0,2020-06-18,nzelreqp,https://youtu.be/Iyeyd9v5dXM,22
14130,znkj88vz,j0n10kw8,o1y9wo6q,n2y55mko,,1070.0,2020-06-18,w89rwelk,https://www.twitch.tv/videos/654971248,
14131,mrkoq88y,e8ewvvp8,o1y9wo6q,n2y55mko,,1150.0,2020-06-18,w89rwelk,https://www.twitch.tv/videos/654977082,
14132,y65o7l0z,x35m076j,o1y9wo6q,n2y55mko,,1130.0,2020-06-18,w89rwelk,https://www.twitch.tv/videos/654989938?filter=highlights&sort=time,
14133,y820qrxy,48gqo07j,o1y9wo6q,7dgrrxk4,,2929.0,2020-06-18,w89rwelk,https://www.youtube.com/watch?v=KzvkZcSdgQs,7
14134,y4wg57qm,qxkmn26j,o1y9wo6q,wkpoo02r,,6855.0,2020-06-18,w89rwelk,https://www.twitch.tv/videos/655056101,
14135,y25j30jy,x35rvpkj,o1y9wo6q,7dgrrxk4,,4922.0,2020-06-18,w89rwelk,https://youtu.be/lOaRXgALaho,17
14136,zgw2nqny,98r60068,o1y9wo6q,n2y55mko,,1060.0,2020-06-19,w89rwelk,https://youtu.be/eqHj8Tz25_E,25
14137,y820qxny,qjnzlzwj,o1y9wo6q,n2y55mko,,1195.0,2020-06-19,w89rwelk,https://www.twitch.tv/videos/655109163,
14138,y820qw5y,xy590ky8,o1y9wo6q,n2y55mko,,2509.0,2020-06-19,w89rwelk,https://www.youtube.com/watch?v=UQpomKtOf58,12
14139,zx2nvjqm,jo3271lj,o1y9wo6q,n2y55mko,,2306.0,2020-06-19,nzelreqp,https://youtu.be/Ftn2GjDZT4I,7
14140,yd5gq4jm,48gq91rj,o1y9wo6q,n2y55mko,,1001.0,2020-06-19,w89rwelk,https://www.youtube.com/watch?v=kOLJIuNgV94&t,12
14141,y9067gky,o864rdqj,o1y9wo6q,n2y55mko,,1311.0,2020-06-19,w89rwelk,https://youtu.be/COrW7ukwGnE,
14142,mrkoqpdy,jo3lr70j,o1y9wo6q,n2y55mko,,1544.0,2020-06-19,w89rwelk,https://www.twitch.tv/videos/655212619,
14143,ylkn43nz,jmoyrvn8,o1y9wo6q,n2y55mko,,1659.0,2020-06-19,w89rwelk,https://www.youtube.com/watch?v=wlFmZOP4AD0&feature=youtu.be,12
14144,yv68j38z,8dw9dp5j,o1y9wo6q,n2y55mko,,1301.0,2020-06-19,w89rwelk,https://www.twitch.tv/videos/655282486,
14145,z05n36jm,68weovq8,o1y9wo6q,n2y55mko,,1255.0,2020-06-19,w89rwelk,https://www.youtube.com/watch?v=vQQ5UKEPKVI&t=7s,86
14146,m35l166y,8v5521yj,o1y9wo6q,n2y55mko,,1467.0,2020-06-19,w89rwelk,https://www.youtube.com/watch?v=JjOo4n0kNcE,8
14147,meoexl8z,qjny9d8m,o1y9wo6q,wkpoo02r,,7629.0,2020-06-19,nzelreqp,https://youtu.be/46QxvjKToyk,11
14148,yd5g6lwm,zx7dq4qx,o1y9wo6q,n2y55mko,,2712.0,2020-06-17,w89rwelk,https://www.twitch.tv/videos/655685485,
14149,y65ole1z,48gdrl28,o1y9wo6q,n2y55mko,,1415.0,2020-06-19,w89rwelk,https://youtu.be/GBw8YXvVHZQ,10
14150,y4wg10nm,e8ez4d68,o1y9wo6q,n2y55mko,,1884.0,2020-06-19,w89rwelk,https://www.twitch.tv/videos/655723352,
14151,m7g2qrem,8l0kq448,o1y9wo6q,n2y55mko,,1750.0,2020-06-19,w89rwelk,https://www.youtube.com/watch?v=Xu5OQ95Z8hI,6
14152,y25j5v7y,x353emej,o1y9wo6q,n2y55mko,,1181.0,2020-06-19,w89rwelk,https://youtu.be/NpHIFocbErs,13
14153,m35l5qqy,o864rdqj,o1y9wo6q,n2y55mko,,1228.0,2020-06-19,w89rwelk,https://youtu.be/fNrMk3DUMjk,
14154,mk3v3p5z,e8ew6r28,o1y9wo6q,7dgrrxk4,,4236.0,2020-06-19,w89rwelk,https://www.youtube.com/watch?v=mtTtCSafrP8&feature=youtu.be,10
14155,m7g2gowm,j2y14d78,o1y9wo6q,n2y55mko,,1105.0,2020-06-19,w89rwelk,https://m.youtube.com/watch?v=OIBdeKwuYfk,9
14156,yv686k6z,zx7d74vx,o1y9wo6q,7dgrrxk4,,3320.0,2020-06-19,w89rwelk,https://www.twitch.tv/videos/656080077,
14157,zqwewlxz,8l0o5q78,o1y9wo6q,7dgrrxk4,,3219.0,2020-06-18,w89rwelk,https://www.twitch.tv/videos/654664124?t=0h0m1s,
14158,zprgl3vm,j2y1od68,o1y9wo6q,n2y55mko,,1454.0,2020-06-20,w89rwelk,https://www.twitch.tv/videos/656106836,
14159,y65or41z,qjor2nj6,o1y9wo6q,wkpoo02r,,6697.0,2020-06-20,nzelreqp,https://www.twitch.tv/videos/656392618,
14160,zprg3qgm,zxze2zex,o1y9wo6q,n2y55mko,,947.59,2020-06-18,w89rwelk,https://www.twitch.tv/videos/655138648,
14161,z05n659m,kj9l0pwj,o1y9wo6q,7dgrrxk4,,4120.0,2020-06-20,v06dr394,https://youtu.be/fKn5ejWjFKM,13
14162,mk3v7glz,1xy5r7w8,o1y9wo6q,7dgrrxk4,,2999.0,2020-06-20,w89rwelk,https://www.youtube.com/watch?v=qxAYLaFpesc,136029
14163,z5je0rjm,qjnqk71j,o1y9wo6q,n2y55mko,,1181.0,2020-06-19,w89rwelk,https://www.twitch.tv/videos/656499361,
14164,z15q8xwy,qxkz2mmx,o1y9wo6q,7dgrrxk4,,3247.0,2020-06-09,w89rwelk,https://youtu.be/HdZnJLC2Z8c,11
14165,y906n82y,kjpo7l48,o1y9wo6q,7dgrrxk4,,3541.0,2020-06-20,w89rwelk,https://www.twitch.tv/videos/656163499,
14166,yv68254z,zx7dq4qx,o1y9wo6q,n2y55mko,,1882.0,2020-06-20,w89rwelk,https://www.twitch.tv/videos/656462442,
14167,z5je06gm,8ge5ow7j,o1y9wo6q,n2y55mko,,1121.0,2020-06-15,w89rwelk,https://www.twitch.tv/videos/656677570,
14168,mrko4g2y,e8ez4d68,o1y9wo6q,n2y55mko,,1789.0,2020-06-20,w89rwelk,https://www.twitch.tv/videos/656716605,
14169,m7g2dg4m,jn35rwwx,o1y9wo6q,n2y55mko,,1173.0,2020-06-20,w89rwelk,https://www.youtube.com/watch?v=DQ8fLP20GsQ&t=2s,28
14170,m7g2d54m,5j5gwr68,o1y9wo6q,n2y55mko,,1198.0,2020-06-20,w89rwelk,https://www.twitch.tv/videos/656806048,
14171,y25jxv5y,8wk5mpq8,o1y9wo6q,n2y55mko,,2239.0,2020-06-20,w89rwelk,https://www.twitch.tv/videos/656753492,
14172,y65odd0z,18veed2j,o1y9wo6q,n2y55mko,,2440.0,2020-06-20,v06dr394,https://youtu.be/2RwqD-4g26s,11
14173,y25jxrwy,v8lwqz7x,o1y9wo6q,7dgrrxk4,,3416.0,2020-06-21,w89rwelk,https://www.twitch.tv/videos/656999535,
14174,y820erdy,x35r767j,o1y9wo6q,7dgrrxk4,,3555.0,2020-06-21,w89rwelk,https://www.twitch.tv/videos/657106716,
14175,zgw2rvey,qj27v68k,o1y9wo6q,n2y55mko,,1289.0,2020-06-21,w89rwelk,https://youtu.be/ZAnuYFIHlJE?t=106,11
14176,z05n7lom,qjnnngqj,o1y9wo6q,7dgrrxk4,,4110.0,2020-06-21,w89rwelk,https://www.twitch.tv/videos/657167623,
14177,ylknr1xz,v81eydrj,o1y9wo6q,7kjpp4k3,,491.0,2020-06-21,w89rwelk,https://youtu.be/P-ggS3JAvsM,14
14178,y9063eny,8geo9o2j,o1y9wo6q,n2y55mko,,2455.0,2020-06-21,w89rwelk,https://www.youtube.com/watch?v=KcTPAR3rVvM,12
14179,z05n744m,68weovq8,o1y9wo6q,7dgrrxk4,,5063.0,2020-06-21,w89rwelk,https://www.youtube.com/watch?v=nloPISHsMTg,97
14180,z05npe4m,qxkwm52x,o1y9wo6q,n2y55mko,,2101.0,2020-06-21,w89rwelk,https://www.twitch.tv/videos/657644146,
14181,z05np3em,qjo3kk7j,o1y9wo6q,wkpoo02r,,6563.0,2020-06-21,w89rwelk,https://youtu.be/01i2-qEoaE4,56
14182,yd5gd3jm,qjo3kk7j,o1y9wo6q,7dgrrxk4,,3115.0,2020-06-21,w89rwelk,https://youtu.be/OaWfI0x9pIA,48
14183,yw8v380y,xy5y64v8,o1y9wo6q,n2y55mko,,1314.0,2020-06-21,w89rwelk,https://www.twitch.tv/videos/657660635,
14184,y65o0o0z,pj0o24rj,o1y9wo6q,n2y55mko,,1253.0,2020-06-22,w89rwelk,https://www.twitch.tv/videos/657644978,
14185,meoe3r9z,x35m076j,o1y9wo6q,n2y55mko,,1089.0,2020-06-21,w89rwelk,https://www.twitch.tv/videos/657842370,
14186,meoe1j0z,x351qzej,o1y9wo6q,n2y55mko,,2428.0,2020-06-21,w89rwelk,https://www.youtube.com/watch?v=Bdfe8knddew,17
14187,y820xxxy,8wk5rg48,o1y9wo6q,n2y55mko,,1553.0,2020-06-22,w89rwelk,https://www.twitch.tv/videos/657947583,
14188,z5jexejm,0jmwr1ex,o1y9wo6q,n2y55mko,,1192.0,2020-06-22,w89rwelk,https://youtu.be/O3TEZ36K8_U,14
